Professor,Institute,Homepage,Field1,Field2,Field3,Field4,Field5,Field6
"Altmann, Karl-Heinz",IPW,http://www.pharmaceutical-biology.ethz.ch/,Antibiotics,Chemical Biology,Medicinal Chemistry,Natural Products,Oncology,
"Ametamey, Simon M.",IPW,http://www.radiopharmaceutical-science.ethz.ch/,Imaging,Medicinal Chemistry,Radiopharmaceuticals,,,
"Arosio, Paolo",ICB,http://www.arosiogroup.ethz.ch/,Chemical Engineering,Chemical Biology,Microfluidics,,,
"Bode, Jeffrey W.",LOC,http://www.bode.ethz.ch/,Chemical Biology,Catalysis,Natural Products,Organic Synthesis,,
"Carreira, Erick M.",LOC,http://www.carreira.ethz.ch/,Medicinal Chemistry,Natural Products,Organic Synthesis,,,
"Chen, Peter",LOC,http://www.chen.ethz.ch,Catalysis,Organic Synthesis,Spectroscopy,,,
"Copéret, Christophe",LAC,http://www.coperetgroup.ethz.ch/,Computational Chemistry,Surface Chemistry,Catalysis,Advanced Materials,Spectroscopy,
"DeMellow, Andrew",ICB,https://demellogroup.ethz.ch,Chemical Engineering,Diagnostics,Lab on a Chip,Advanced Materials,Microfluidics,Nano Sciences
"Detmar, Michael J.",IPW,http://www.pharmacogenomics.ethz.ch/,Immunology,Disease Research,Oncology,Pharmacogenomics,,
"Diederich, François",LOC,http://www.diederich.chem.ethz.ch/,Medicinal Chemistry,Nano Sciences,Supramolecular Chemistry ,,,
"Ernst, Matthias",LPC,http://www.ssnmr.ethz.ch/,Spectroscopy,,,,,
"Gander, Bruno",IPW,http://www.galenik.ethz.ch/,Drug Delivery,Drug Formulation,,,,
"Grass, Robert",ICB,http://www.fml.ethz.ch/,Biomaterials,Engineering,Advanced Materials,Nano Sciences,,
"Grützmacher, Hansjörg",LAC,http://www.gruetzmacher.ethz.ch/,Energy Storage,Catalysis,,,,
"Günther, Detlef",LAC,http://www.analytica.ethz.ch/,Analytical Methods,Nano Sciences,Spectroscopy,,,
"HalinWinter, Cornelia",IPW,http://www.pharmaceutical-immunology.ethz.ch/,Immunology,Disease Research,,,,
"Hall, Jonathan",IPW,http://www.pharmaceutical-chemistry.ethz.ch/,Chemical Biology,Medicinal Chemistry,,,,
"Hilvert, Donald",LOC,http://www.protein.ethz.ch/,Chemical Biology,Enzymes,Microfluidics,,,
"Hünenberger, Philippe",LPC,http://www.csms.ethz.ch/,Chemical Biology,Computational Chemistry,,,,
"Jeschke, Gunnar",LPC,http://www.epr.ethz.ch/,Computational Chemistry,Spectroscopy,,,,
"Kast, Peter A.",LOC,http://www.protein.ethz.ch/,Chemical Biology,Enzymes,Microfluidics,,,
"Kovalenko, Maksym V.",LAC,http://www.kovalenkolab.ethz.ch/,Energy Storage,Advanced Materials,Nano Sciences,,,
"Krämer, Stefanie",IPW,http://www.biopharmacy.ethz.ch/,Pharmacokinetics,Radiopharmaceuticals,,,,
"Leroux, Jean-Christophe",IPW,http://www.galenik.ethz.ch/,3D Printing,Drug Delivery,Drug Formulation,Disease Research,,
"Lippert, Thomas",LAC,https://www.psi.ch/lmx-interfaces/thin-films-and-interfaces-group,Surface Chemistry,Spectroscopy,,,,
"Meier, Beat H.",LPC,http://www.ssnmr.ethz.ch/,Chemical Biology,Spectroscopy,,,,
"Merkt, Frédéric",LPC,http://www.xuv.ethz.ch/,Molecular Physics,Spectroscopy,,,,
"Mezzetti, Antonio",LAC,http://www.mezzetti.ethz.ch,Catalysis,Organometallic Chemistry,,,,
"Morbidelli, Massimo",ICB,http://www.morbidelli-group.ethz.ch/,Biopharmaceutics,Engineering,Nano Sciences,,,
"Neri, Dario",IPW,http://www.biomacromolecules.ethz.ch/,Biologics,Biomacromolecules,Drugs,,,
"Novák, Petr",LAC,https://www.psi.ch/lec/electrochemistry-laboratory-lec,Electrochemistry,Energy Storage,,,,
"Parrinello, Michèle",LPC,http://www.rgp.ethz.ch,Computational Chemistry,,,,,
"Pérez-Ramírez, Javier",ICB,https://www.ace.ethz.ch/en/home,Energy Storage,Engineering,,,,
"Quitterer, Ursula",IPW,http://www.molecular-pharmacology.ethz.ch/,Disease Research,Pharmacology,Drugs,,,
"Reiher, Markus",LPC,http://www.reiher.ethz.ch/,Computational Chemistry,Quantum Chemistry,,,,
"Richardson, Jeremy O.",LPC,http://www.richardson.ethz.ch/,Quantum Chemistry,,,,,
"Riek, Roland",LPC,http://www.bionmr.ethz.ch/,Chemical Biology,Spectroscopy,,,,
"Riniker, Sereina",LPC,http://www.riniker.ethz.ch,Computational Chemistry,,,,,
"Rivera-Fuentes, Pablo",LOC,http://www.rivera-fuentes.chem.ethz.ch/,Immunology,Disease Research,,,,
"Schibli, Roger",IPW,http://www.radiopharmaceutical-science.ethz.ch/,Imaging,Medicinal Chemistry,Radiopharmaceuticals,,,
"Schmidt, Thomas J.",LPC,http://www.electrochemistry.ethz.ch/,Electrochemistry,Energy Storage,Catalysis,,,
"Schneider, Gisbert",IPW,http://www.cadd.ethz.ch,Computational Chemistry,Pharmacology,Drugs,,,
"Shih, Chih-Jen",ICB,http://www.shihlab.ethz.ch/,Engineering,Advanced Materials,Nano Sciences,,,
"Signorell, Ruth",LPC,http://www.aerosol.ethz.ch/,Aerolsols,Nano Sciences,,,,
"Stark, Wendelin Jan",ICB,http://www.fml.ethz.ch/,3D Printing,Engineering,Advanced Materials,Nano Sciences,,
"Storti, Giuseppe",ICB,http://www.morbidelli-group.ethz.ch/,Engineering,Nano Sciences,,,,
"Thilgen, Carlo",LOC,http://www.diederich.chem.ethz.ch/,Surface Chemistry,Nano Sciences,,,,
"Togni, Antonio",LAC,http://www.tognigroup.ethz.ch/,Catalysis,Organometallic Chemistry,,,,
"VanBokhoven, Jeroen A.",ICB,http://www.vanbokhoven.ethz.ch/,Catalysis,Nano Sciences,,,,
"Wennemers, Helma",LOC,http://www.wennemers.ethz.ch/,Bioinspired Chemistry,Chemical Biology,Imaging,Advanced Materials,Nano Sciences,Organic Synthesis
"Wörner, Hans Jakob",LPC,http://www.atto.ethz.ch,Reaction Mechanisms,Spectroscopy,,,,
"Yamakoshi, Y.",LOC,http://www.yamakoshi.ethz.ch/,Imaging,Nano Sciences,Organic Synthesis,Supramolecular Chemistry ,,
"Zenobi, Renato",LOC,http://www.zenobi.ethz.ch/,Analytical Methods,Disease Research,Spectroscopy,,,
"Zeilhofer, Hanns Ulrich",IPW,http://www.pharma.uzh.ch/research/neuropharmacology/researchareas/neuropharmacology.html,Disease Research,Pharmacology,,,,